peg:[index, x, y] =[5.0, 1.6745335690369183, -0.14888044007762594]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.103219939877374, -0.7742404809809956]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.103219939877374, -0.7742404809809956]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.5652568629186145, -0.2497221780203841]
peg:[index, x, y] =[2.0, -0.8304809507311606, -2.1499266193208557]
peg:[index, x, y] =[3.0, 0.0, -3.46]
peg:[index, x, y] =[4.0, 0.8304809507311606, -2.1499266193208557]
peg:[index, x, y] =[5.0, 1.5652568629186145, -0.2497221780203841]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.1010020705520986, -0.7919834355832]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.1010020705520986, -0.7919834355832]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.691116573041321, -0.13884449703873603]
peg:[index, x, y] =[2.0, -0.7251302260379271, -2.992732416866727]
peg:[index, x, y] =[3.0, 0.0, -3.46]
peg:[index, x, y] =[4.0, 0.7251302260379271, -2.992732416866727]
peg:[index, x, y] =[5.0, 1.691116573041321, -0.13884449703873603]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.1010020705520986, -0.7919834355832]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.1010020705520986, -0.7919834355832]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.5652568629186145, -0.2497221780203841]
peg:[index, x, y] =[2.0, -0.8304809507311606, -2.1499266193208557]
peg:[index, x, y] =[3.0, 0.0, -3.47]
peg:[index, x, y] =[4.0, 0.8304809507311606, -2.1499266193208557]
peg:[index, x, y] =[5.0, 1.5652568629186145, -0.2497221780203841]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.1010020705520986, -0.7919834355832]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.1010020705520986, -0.7919834355832]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.6281867179799678, -0.1942833375295599]
peg:[index, x, y] =[2.0, -0.9938978807209735, -2.423029477498643]
peg:[index, x, y] =[3.0, 0.0, -3.47]
peg:[index, x, y] =[4.0, 0.9938978807209735, -2.423029477498643]
peg:[index, x, y] =[5.0, 1.6281867179799678, -0.1942833375295599]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.1010020705520986, -0.7919834355832]
socket:[index, x, y] =[3.0, -1.093064563102888, -2.6145935865387244]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 1.093064563102888, -2.6145935865387244]
socket:[index, x, y] =[6.0, 1.1010020705520986, -0.7919834355832]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.5652568629186145, -0.2497221780203841]
peg:[index, x, y] =[2.0, -0.8304809507311606, -2.1499266193208557]
peg:[index, x, y] =[3.0, 0.0, -3.465]
peg:[index, x, y] =[4.0, 0.8304809507311606, -2.1499266193208557]
peg:[index, x, y] =[5.0, 1.5652568629186145, -0.2497221780203841]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.1010020705520986, -0.7919834355832]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.1010020705520986, -0.7919834355832]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.718086510924758, -0.11508499397123996]
peg:[index, x, y] =[2.0, -0.7251302260379272, -2.9927324168667266]
peg:[index, x, y] =[3.0, 0.0, -3.465]
peg:[index, x, y] =[4.0, 0.7251302260379272, -2.9927324168667266]
peg:[index, x, y] =[5.0, 1.718086510924758, -0.11508499397123996]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.1010020705520986, -0.7919834355832]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.1010020705520986, -0.7919834355832]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.568569663794998, -0.23402344166362893]
peg:[index, x, y] =[2.0, -0.8323714667288405, -2.1348024913394164]
peg:[index, x, y] =[3.0, 0.0, -3.42]
peg:[index, x, y] =[4.0, 0.8323714667288405, -2.1348024913394164]
peg:[index, x, y] =[5.0, 1.568569663794998, -0.23402344166362893]
socket:[index, x, y] =[1.0, -2.0, 0.0]
socket:[index, x, y] =[2.0, -1.1053892015713487, -0.7568863874291996]
socket:[index, x, y] =[3.0, -0.8, -3.2]
socket:[index, x, y] =[4.0, 0.0, -3.6]
socket:[index, x, y] =[5.0, 0.8, -3.2]
socket:[index, x, y] =[6.0, 1.1053892015713487, -0.7568863874291996]
socket:[index, x, y] =[7.0, 2.0, 0.0]
peg:[index, x, y] =[1.0, -1.8004458927029279, -0.03784431937146]
peg:[index, x, y] =[2.0, -0.7985281901921655, -2.5522075867278584]
peg:[index, x, y] =[3.0, 0.0, -3.42]
